STT,Tinh_TP_Cu,Xa_Phuong_Truoc_Sap_Nhap,Xa_Phuong_Moi_TPHCM,Latitude,Longitude
101,Bình Dương,"Các phường Thạnh Phước, Tân Phước Khánh, Tân Vĩnh Hiệp, một phần phường Thái Hòa và xã Thạnh Hội",Phường Tân Khánh,10.999374,106.7406558
102,Bà Rịa - Vũng Tàu,"Các phường 1, 2, 3, 4, 5 (thành phố Vũng Tàu), Thắng Nhì, Thắng Tam",Phường Vũng Tàu,10.3537998,107.0743635
103,Bà Rịa - Vũng Tàu,"Các phường 7, 8, 9 (thành phố Vũng Tàu), Nguyễn An Ninh",Phường Tam Thắng,10.3686942,107.1009025
104,Bà Rịa - Vũng Tàu,"Các phường 10 (thành phố Vũng Tàu), Thắng Nhất, Rạch Dừa",Phường Rạch Dừa,10.3909975,107.1090865
105,Bà Rịa - Vũng Tàu,"Các phường 11, 12 (thành phố Vũng Tàu)",Phường Phước Thắng,10.4252072,107.1671096
106,Bà Rịa - Vũng Tàu,"Xã Tân Hưng (thành phố Bà Rịa), Kim Dinh, Long Hương",Phường Long Hương,10.5070464,107.1476608
107,Bà Rịa - Vũng Tàu,"Các phường Phước Trung, Phước Nguyên, Long Toàn, Phước Hưng",Phường Bà Rịa,10.4948224,107.1849886
108,Bà Rịa - Vũng Tàu,"Các phường Long Tâm, Xã Hòa Long, Xã Long Phước",Phường Tam Long,10.5289996,107.2147604
109,Bà Rịa - Vũng Tàu,"Các phường Tân Hòa, Tân Hải",Phường Tân Hải,10.5158702,107.1079712
110,Bà Rịa - Vũng Tàu,"Các phường Phước Hòa, Tân Phước",Phường Tân Phước,10.5280288,107.0532037
111,Bà Rịa - Vũng Tàu,"Các phường Phú Mỹ (thành phố Phú Mỹ), Mỹ Xuân",Phường Phú Mỹ,10.6019767,107.0521099
112,Bà Rịa - Vũng Tàu,"Các phường Hắc Dịch, Xã Sông Xoài",Phường Tân Thành,10.6657629,107.136983
113,TP.HCM,Xã Vĩnh Lộc A và một phần xã Phạm Văn Hai,Xã Vĩnh Lộc,10.8265123,106.5518034
114,TP.HCM,"Các xã Vĩnh Lộc B, một phần xã Phạm Văn Hai và một phần phường Tân Tạo",Xã Tân Vĩnh Lộc,10.7908707,106.5447791
115,TP.HCM,"Các xã Lê Minh Xuân, Bình Lợi",Xã Bình Lợi,10.7533121,106.5131428
116,TP.HCM,"Thị trấn Tân Túc, Xã Tân Nhựt, một phần phường Tân Tạo A, xã Tân Kiên và phường 16 (Quận 8)",Xã Tân Nhựt,10.7079037,106.5675867
117,TP.HCM,"Các xã Tân Quý Tây, Bình Chánh, An Phú Tây",Xã Bình Chánh,10.6638681,106.5703407
118,TP.HCM,"Các xã Đa Phước, Qui Đức, Hưng Long",Xã Hưng Long,10.6591544,106.645572
119,TP.HCM,"Các xã Phong Phú, xã Bình Hưng, một phần phường 7 (Quận 8)",Xã Bình Hưng,10.705303,106.6525989
120,TP.HCM,"Các xã Tam Thôn Hiệp, Bình Khánh, một phần xã An Thới Đông",Xã Bình Khánh,10.5958922,106.8790677
121,TP.HCM,Xã Lý Nhơn và một phần xã An Thới Đông,Xã An Thới Đông,10.5020916,106.8092139
122,TP.HCM,"Xã Long Hòa (huyện Cần Giờ), Thị trấn Cần Thạnh",Xã Cần Giờ,10.4147541,106.9714754
123,TP.HCM,"Các xã Tân Phú Trung, Tân Thông Hội, Phước Vĩnh An",Xã Củ Chi,10.9617664,106.5335564
124,TP.HCM,"Thị trấn Củ Chi, Xã Phước Hiệp, Xã Tân An Hội",Xã Tân An Hội,10.970179,106.4637699
125,TP.HCM,"Các xã Trung Lập Thượng, Phước Thạnh, Thái Mỹ",Xã Thái Mỹ,11.03753,106.4353672
126,TP.HCM,"Các xã Phú Mỹ Hưng, An Phú, An Nhơn Tây",Xã An Nhơn Tây,11.101795,106.4813178
127,TP.HCM,"Các xã Phạm Văn Cội, Trung Lập Hạ, Nhuận Đức",Xã Nhuận Đức,11.0295786,106.4986658
128,TP.HCM,"Các xã Tân Thạnh Tây, Tân Thạnh Đông, Phú Hòa Đông",Xã Phú Hòa Đông,10.9887911,106.5562008
129,TP.HCM,"Các xã Bình Mỹ (huyện Củ Chi), Hòa Phú, Trung An",Xã Bình Mỹ,10.9801665,106.6101461
130,TP.HCM,"Các xã Thới Tam Thôn, Nhị Bình, Đông Thạnh",Xã Đông Thạnh,10.8981946,106.6361448
131,TP.HCM,"Các xã Tân Hiệp (huyện Hóc Môn), Xã Tân Xuân, Thị trấn Hóc Môn",Xã Hóc Môn,10.8860463,106.5927134
132,TP.HCM,"Các xã Tân Thới Nhì, Xuân Thới Đông, Xuân Thới Sơn",Xã Xuân Thới Sơn,10.887924,106.5569321
133,TP.HCM,"Các xã Xuân Thới Thượng, Trung Chánh, Bà Điểm",Xã Bà Điểm,10.8402684,106.5990908
134,TP.HCM,"Thị trấn Nhà Bè, Xã Phú Xuân, Xã Phước Kiển, Xã Phước Lộc",Xã Nhà Bè,10.695397,106.7148191
135,TP.HCM,"Các xã Nhơn Đức, Long Thới, Hiệp Phước",Xã Hiệp Phước,10.6351242,106.7510876
136,Bình Dương,"Các xã Lạc An, Hiếu Liêm, Thường Tân, một phần xã Tân Mỹ",Xã Thường Tân,11.1048495,106.9194354
137,Bình Dương,"Thị trấn Tân Thành, Xã Đất Cuốc, Xã Tân Định",Xã Bắc Tân Uyên,11.1711104,106.8634945
138,Bình Dương,"Thị trấn Phước Vĩnh, xã An Bình, một phần xã Tam Lập",Xã Phú Giáo,11.3071441,106.8607982
139,Bình Dương,"Các xã Vĩnh Hòa, Phước Hòa, một phần xã Tam Lập",Xã Phước Hòa,11.2535365,106.7735395
140,Bình Dương,"Các xã Tân Hiệp (huyện Phú Giáo), An Thái, Phước Sang",Xã Phước Thành,11.3851629,106.7515368
141,Bình Dương,"Các xã An Linh, Tân Long, An Long",Xã An Long,11.3260136,106.6896139
142,Bình Dương,"Xã Trừ Văn Thố, xã Cây Trường II, một phần thị trấn Lai Uyên",Xã Trừ Văn Thố,11.3399962,106.5929507
143,Bình Dương,Phần còn lại thị trấn Lai Uyên,Xã Bàu Bàng,11.2734666,106.6057271
144,Bình Dương,"Các xã Long Tân, Long Hòa (huyện Dầu Tiếng), một phần xã Minh Tân và Minh Thạnh",Xã Long Hòa,11.3274937,106.5090895
145,Bình Dương,"Các xã Thanh An, một phần xã Định Hiệp, Thanh Tuyền và An Lập",Xã Thanh An,11.2479372,106.4314551
146,Bình Dương,"Thị trấn Dầu Tiếng, xã Định An, xã Định Thành và một phần xã Định Hiệp",Xã Dầu Tiếng,11.3307682,106.4030265
147,Bình Dương,"Xã Minh Hòa, một phần xã Minh Tân và Minh Thạnh",Xã Minh Thạnh,11.4438332,106.4655524
148,Bà Rịa - Vũng Tàu,Các xã Tóc Tiên và Châu Pha,Xã Châu Pha,10.5807114,107.1333808
149,Bà Rịa - Vũng Tàu,"Thị trấn Long Hải, xã Phước Tỉnh và xã Phước Hưng",Xã Long Hải,10.4039451,107.2307547
150,Bà Rịa - Vũng Tàu,"Thị trấn Long Điền, Xã Tam An",Xã Long Điền,10.4851113,107.2119218
